model,task,learning_index,convergence_trial,asymptotic_performance,sample_efficiency,wall_time_min
cadex,T1_ClassicalConditioning,0.9865,9,1.0000,1.0000,3.6
cadex,T2_PatternCompletion,0.6940,9,0.6000,0.8800,1.5
cadex,T3_SequencePrediction,0.9730,9,1.0000,1.0000,3.6
cadex,T4_IntervalTiming,0.8312,17,0.8383,0.7302,14.3
cadex,T5_DelayMatchToSample,0.6370,37,0.5750,0.5250,7.5
cadex,T6_NBack,0.8750,47,0.9375,0.7075,9.3
lif,T1_ClassicalConditioning,0.9865,9,1.0000,1.0000,3.2
lif,T2_PatternCompletion,0.7240,9,0.5667,0.8800,1.3
lif,T3_SequencePrediction,0.0000,9,0.0000,0.6667,3.3
lif,T4_IntervalTiming,0.7903,9,0.6817,0.8376,56.2
lif,T5_DelayMatchToSample,0.5020,37,0.3250,0.4750,45.5
lif,T6_NBack,0.8198,9,0.7250,0.8200,88.5
lsm,T1_ClassicalConditioning,0.4365,9,0.0000,0.7500,34.7
lsm,T2_PatternCompletion,0.1900,9,0.2000,0.7333,1.1
lsm,T3_SequencePrediction,0.0000,9,0.0000,0.6667,18.6
lsm,T4_IntervalTiming,0.5376,71,0.5650,0.4854,21.7
lsm,T5_DelayMatchToSample,0.5020,37,0.3250,0.4750,4.9
lsm,T6_NBack,0.7840,16,0.7250,0.6675,43.5
